"Details","Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Created Date","Last Modified Date"
"","VAL2023090715464039","","","In-House","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","UI TEST delete","","Complete","Intake","","Dream","09-07-2023 21:16:40","09-07-2023 21:16:40"
"","VAL2023090715534851","","","In-House","VIVATEST85Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","6767","Ben Erickson","","Complete","Intake","","Dream","09-08-2023 01:23:48","09-08-2023 01:23:48"
"","VAL2023090715512167","","","In-House","VIVATEST34Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Ben Erickson","","Complete","Intake","","Dream","09-08-2023 01:21:22","09-08-2023 01:21:22"
"","VAL2023090715493539","","","In-House","VIVATEST76Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","test10231","Ben Erickson","","Complete","Intake","","Dream","09-08-2023 01:19:36","09-08-2023 01:19:36"
"","VAL2023090715413223","","","In-House","VIVATEST64Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","24","Md Raja","","Complete","Intake","","Dream","09-08-2023 01:11:33","09-08-2023 01:11:33"
"","VAL2023090713314396","","","In-House","VIVATEST54Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","aaassee","Ben Erickson","","Complete","Intake","","Dream","09-07-2023 19:01:43","09-07-2023 19:01:43"
"","VAL2023090713235083","","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","UI TEST delete","","Complete","Intake","","Dream","09-07-2023 18:53:50","09-07-2023 18:53:50"
"","VAL2023090713204310","","","In-House","VIVATEST13Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","432786","UI TEST delete","","Complete","Intake","","Dream","09-07-2023 18:50:43","09-07-2023 18:50:43"
"","VAL2023083108245736","","","In-House","VIVATEST25Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Dream","","Complete","Intake","","Dream","08-31-2023 13:54:58","09-05-2023 05:30:00"
"","VAL2023082811463436","","","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","UI TEST delete","","Complete","Intake","","Dream","08-28-2023 17:16:34","08-29-2023 23:55:02"
"","VAL2023082811452678","","","In-House","VIVATEST2Test","VT Chromebook","VivaTEST2Test","demo_repairtech@vivacitytech.com","","Complete","Intake","","Dream","08-28-2023 17:15:26","08-29-2023 23:55:02"
"","VAL2023082510340738","","","In-House","P206XP42Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","KFr:C@N+l*","Manidipa Das","","In_Transit","Part_Queue","","Dream","08-25-2023 16:04:07","08-31-2023 05:30:00"
"","VAL2023082521005256","","","In-House","P206P15Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","B`*q!LT3{)","jlondon","","Quality_Assurance","Quality_Assurance","","Dream","08-25-2023 21:00:52","09-06-2023 23:44:00"
"","VAL2023082416100291","","","In-House","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","AssetTestEdit","TesterRT","","Complete","Intake","","Dream","08-24-2023 21:40:02","08-24-2023 21:40:02"
